video_id,comment_id,video_title,channel_name,channel_id,author_name,author_channel_id,text,source_query,source_group,dataset_sources,author_handle,published_text,like_count_text,reply_count,is_pinned,viewer_rating,author_handle_decoded,like_count,texto_original,hashtags,mentions,emojis,texto_limpio
j43HgwYFKfk,Ugw-J65a1iYL9hqhELh4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@MarcosCarillo-b1r,UCdFlugHJJa4l3YqWuNRmvXw,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@MarcosCarillo-b1r,hace 6 meses, ,0,False,,/@MarcosCarillo-b1r,0,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,,,,corrupto amigo viejo fiscal verbose carcel
06mFNPU0aB8,Ugw-ZT9t9wU2V-tCaUZ4AaABAg,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,@RaulPerez-cw2vi,UCvl1tzQeBeGy6efPTRJXSCw,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@RaulPerez-cw2vi,hace 2 semanas, ,0,False,,/@RaulPerez-cw2vi,0,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",,,,joven buscar trabajo suerte policía gustar vando ir vestido mujer ensamblado maquinaria
j43HgwYFKfk,Ugw0xaOb2CYXXoudtwJ4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@iamjimalesssa,UCRAquv8el-tQ30bN7MlmySQ,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@iamjimalesssa,hace 1 año,4,0,False,,/@iamjimalesssa,4,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",,,,dejar gana demandar ilegalidad reunión virtual maquila
j43HgwYFKfk,Ugw0xgUc2ISpBr5_T654AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@gonzalo6075,UCkbsS_3D-pvg1iHOld9uvIg,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@gonzalo6075,hace 1 año, ,0,False,,/@gonzalo6075,0,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,,,,verse mafioso mazariegos cárcel bueno tiempo sombra
OkXlHx0hx-8,Ugw1ZzA21njWhaqQQTh4AaABAg,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@luisroldan7374,UCOLHH4ZpMxPYF-Q6e6wvn5A,"eso es para que salga de USA por su propio pie 
que se auto deporten",guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@luisroldan7374,hace 1 día,2,1,False,,/@luisroldan7374,2,"eso es para que salga de USA por su propio pie 
que se auto deporten",,,,salir usar propio pie auto deportar
OkXlHx0hx-8,Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@eugeneramirez4405,UCi2KiZq63sRq8Mfbcp-MelQ,Imagine if they had to walk back home.,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@eugeneramirez4405,hace 20 horas, ,0,False,,/@eugeneramirez4405,0,Imagine if they had to walk back home.,,,,imaginar if they had to walk back home
yLZS3JiEBg8,Ugw2014OIYf336oytFt4AaABAg,Arroz con pollo a la MONOPOLIO,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@capitanfrans,UCXl30Y_upRqbti52fmjK4YA,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@capitanfrans,hace 2 años, ,0,False,,/@capitanfrans,0,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,,,,buenísima investigacion
n8iP75gIpmw,Ugw2bSVOoNn2pc8ZcUl4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@danyraymundo2942,UCRelkU8JiZBytTzebJxaa-w,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@danyraymundo2942,hace 2 años,3,0,False,,/@danyraymundo2942,3,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",,,,llevar lonchera sacrifiquense reintevren dinero robar
lj983NWyAQY,Ugw3gnUvLp6AqO0_odt4AaABAg,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,@perritojuega1,UCgLurCo-e019HGODcjXHWCw,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,Municipalidad de Guatemala,topic,lj983NWyAQY_out_comments.csv | youtube_guatemala_plus_comments.csv,/@perritojuega1,hace 5 años,2,0,False,,/@perritojuega1,2,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,,,🥳|🥳|🥳,vivar guatemala
n8iP75gIpmw,Ugw4C1ijI36l6LAiSZh4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@lizardomorataya8274,UCDIMztpVm7G27qBuiWuT6oQ,LADRONES !!!!,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@lizardomorataya8274,hace 2 años, ,0,False,,/@lizardomorataya8274,0,LADRONES !!!!,,,,ladrón
ndAZjHqzzT8,Ugw4St_YnT9_Ya5xSPt4AaABAg,Internet: escoger el menos malo,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@daniloarevalo3170,UCZOmq6MwFDVoCaEl99BRRaw,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@daniloarevalo3170,hace 1 año, ,0,False,,/@daniloarevalo3170,0,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵",,,🤮|🤮|😠|😠|💵|💵,pequeño truco tenés plan mensual gb redar ilimitado luego mandar mensaje consumir plan ahi venir caos verificar consumo dato solo utilizar redar mínimo internet ende hacer recarga adicional vas averiguar solo decir consumir dato recargar negociar redondo ambos empresa
6W4u8sGEnGM,Ugw4ccnmIWJaE6VNRWN4AaABAg,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@vitalianochavez8382,UCFybmWapGvBKcQod7cPPH9w,Que bien que cambio de nombre,Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,/@vitalianochavez8382,hace 5 días,1,0,False,,/@vitalianochavez8382,1,Que bien que cambio de nombre,,,,bien cambio nombre
